2021-07-01 20:07:264 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:112 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (823716f7be3be2457c2412c094336870)] -> link text: Register]
2021-07-01 20:07:252 INFO  RegisterPage :48 - Verify the Text, Register : [[ChromeDriver: chrome on WINDOWS (823716f7be3be2457c2412c094336870)] -> xpath: //h1[contains(text(),'Register')]]
2021-07-01 20:07:126 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:946 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (ace4f58bbf1647bcd2f93a5bfbbbd1bd)] -> link text: Register]
2021-07-01 20:07:533 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:997 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> link text: Register]
2021-07-01 20:07:118 INFO  RegisterPage :55 - Select Male Radio Button : [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> xpath: //input[@id='gender-male']]
2021-07-01 20:07:262 INFO  RegisterPage :61 - Select First Name [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> id: FirstName]
2021-07-01 20:07:402 INFO  RegisterPage :66 - Select Last Name [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> id: LastName]
2021-07-01 20:07:598 INFO  LoginPage :37 - Entering email address : divsoni327@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> xpath: //input[@id='Email']]
2021-07-01 20:07:754 INFO  LoginPage :42 - Entering password : Div@123 to password field : [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> xpath: //input[@id='Password']]
2021-07-01 20:07:914 INFO  RegisterPage :102 - Enter password : sahi2000 to password field : [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> id: Password]
2021-07-01 20:07:15 INFO  RegisterPage :107 - Click on Register button : [[ChromeDriver: chrome on WINDOWS (dfe24f84d17e23dca6367d7c7b999795)] -> id: register-button]
2021-07-01 20:07:69 INFO  RegisterPage :116 - Verify the Text, Registration Complete : Proxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2021-07-01 20:07:482 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:243 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (026444b17dd4bb24a56cda22663eee46)] -> link text: Register]
2021-07-01 20:07:299 INFO  RegisterPage :48 - Verify the Text, Register : [[ChromeDriver: chrome on WINDOWS (026444b17dd4bb24a56cda22663eee46)] -> xpath: //h1[contains(text(),'Register')]]
2021-07-01 20:07:211 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:905 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (52a0dda293034e0879d39ca0aadebcb4)] -> link text: Register]
2021-07-01 20:07:314 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:530 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> link text: Register]
2021-07-01 20:07:638 INFO  RegisterPage :55 - Select Male Radio Button : [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> xpath: //input[@id='gender-male']]
2021-07-01 20:07:769 INFO  RegisterPage :61 - Select First Name [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> id: FirstName]
2021-07-01 20:07:920 INFO  RegisterPage :66 - Select Last Name [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> id: LastName]
2021-07-01 20:07:93 INFO  LoginPage :37 - Entering email address : divsoni327@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> xpath: //input[@id='Email']]
2021-07-01 20:07:235 INFO  LoginPage :42 - Entering password : Div@123 to password field : [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> xpath: //input[@id='Password']]
2021-07-01 20:07:378 INFO  RegisterPage :102 - Enter password : sahi2000 to password field : [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> id: Password]
2021-07-01 20:07:481 INFO  RegisterPage :107 - Click on Register button : [[ChromeDriver: chrome on WINDOWS (4bb69ef756082764239d60b1cc550009)] -> id: register-button]
2021-07-01 20:07:571 INFO  RegisterPage :116 - Verify the Text, Registration Complete : Proxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2021-07-01 20:07:133 INFO  BasePage :30 - Launching Chrome Browser....
2021-07-01 20:07:726 INFO  HomePage :30 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (ac21f408eb037522cc5bb7ada2ace67e)] -> link text: Register]
2021-07-01 20:07:772 INFO  RegisterPage :48 - Verify the Text, Register : [[ChromeDriver: chrome on WINDOWS (ac21f408eb037522cc5bb7ada2ace67e)] -> xpath: //h1[contains(text(),'Register')]]
